institution_slug,hostel,library,sports,labs,medical,cafeteria,wifi,transport,auditorium,gym
iit-delhi,Yes - separate boys and girls hostels on campus,Central library with 300000+ books and digital journals,Athletics track; swimming pool; football; basketball courts,State-of-the-art research and computing labs,24/7 Hospital inside the campus,Multiple food outlets; canteens; and juice centers,High-speed campus-wide WiFi,N/A,Dogra Hall Auditorium,Fully equipped fitness center
iit-bombay,Yes - 17 hostels with dining facilities,Central library with vast collection and digital access,Olympic-sized swimming pool; tennis courts; cricket ground,Advanced instrumentation and computing facilities,IITB Hospital with resident doctors,Multiple mess halls and private eateries,High-speed WiFi across campus and hostels,N/A,Convocation Hall,Multi-gymnasium facilities
iit-madras,Yes - 20 hostels named after rivers,Central library with over 200000 books,Excellent sports fields; stadium; tennis courts,World-class engineering and scientific research labs,Institute Hospital with pharmacy,Multiple student run food courts,WiFi available across all buildings,In-campus shuttle service,Open Air Theatre and Auditorium,Gymnasium available
iim-ahmedabad,Yes - single room accommodations for postgrads,Vikram Sarabhai Library (very modern and vast),Cricket; football; tennis; badminton courts,Computer center with high performance servers,On-campus dispensary and doctors,Multiple cafes; mess; and dining halls,High-speed campus-wide WiFi,N/A,RJM Auditorium,Fitness center and gym
aiims-delhi,Yes - hostel rooms for MBBS and PG students,Extensive medical library with global research papers,Playground; badminton; tennis courts,Advanced clinical and diagnostic labs,Full AIIMS Hospital services,Student cafeteria and dining halls,Available in library and academic blocks,N/A,Jawaharlal Auditorium,Gymnasium
delhi-university,Yes - college-specific hostel options available,Central Library plus individual college libraries,Sports complexes; cricket; and athletics grounds,Standard science and computer labs,Dispensary and first aid rooms,College canteens and food stalls,WiFi in selected campus zones,N/A,Various college auditoriums,Gym in selected colleges
bhu,Yes - 80+ hostels across the campus,Sayaji Rao Gaekwad Library with ancient manuscripts,Large sports ground; indoor stadium; swimming pool,Advanced university scientific research labs,Sir Sunderlal Hospital on campus,Multiple canteens and food centers,WiFi in university campus,Bus service for students,Swatantrata Bhawan Auditorium,University gymnasium
bits-pilani,Yes - 11 hostels for boys and 1 for girls,Fully air-conditioned modern library,Sports complex; cricket; football; basketball,Advanced research and engineering labs,Medical center with resident doctors,Multiple student messes and food court,High-speed internet in hostels,N/A,Auditorium with 2500+ capacity,Student gym
manipal-academy,Yes - AC and non-AC rooms with single/double sharing,State-of-the-art multi-storey library,Marena sports complex (world class indoor sports),High tech laboratories,Kasturba Hospital,Food courts with international cuisines,Wi-Fi across hostels and campus,University shuttle service,Manipal Auditoriums,World class fitness center
jnu,Yes - 18 hostels on campus,Dr. B.R. Ambedkar Central Library,Sports stadium; mountaineering club; indoor games,Language labs and research labs,Health center for students,Canteens and Ganga Dhaba,WiFi in selected areas,N/A,Convention Center Auditorium,Gymnasium
nit-trichy,Yes - separate boys and girls hostels,Central library with online database subscriptions,Sports fields; basketball; swimming pool,Departmental and research laboratories,24/7 campus dispensary,Student mess and private canteens,Wi-Fi in hostels and departments,N/A,Barn Hall Auditorium,Student gym
vit-vellore,Yes - multi-storey hostels with AC options,Central library with digital subscriptions,Outdoor tracks; indoor sports; swimming pools,Advanced research labs and maker spaces,Health center with ambulance service,Massive food courts and multi-cuisine restaurants,Campus-wide Wi-Fi,N/A,Ambedkar Auditorium,Multiple gymnasiums
srm-chennai,Yes - 15+ hostels with dining halls,Modern air-conditioned central library,Multi-purpose sports ground; indoor courts,High-tech computing and science labs,SRM Medical College Hospital on campus,Food street and local food stalls,Wi-Fi available across campus,SRM Bus fleet service,Dr. G.P. Medical Hall,Gymnasium
amity-noida,Yes - apartment style AC and non-AC hostels,Massive central library and reading halls,Olympic size swimming pool; shooting range; horse riding,Advanced engineering and media labs,Amity Clinic with medical staff,Food court with Domino's; Subway; CCD; etc.,100 Mbps campus-wide Wi-Fi,Bus service from metro station,State-of-the-art auditoriums,Fitness center with trainers
sharda-university,Yes - on-campus hostels,Sharda Central Library,Football; cricket; basketball courts,Departmental and research labs,Sharda Hospital on campus,Food court and cafeteria,Campus Wi-Fi,Bus service across Delhi-NCR,Auditorium,Gym
lpu,Yes - massive in-campus hostels with strict security,University library with millions of resources,Indoor sports stadium; bowling alley; swimming pool,Modern research and computing labs,Uni-Hospital on campus,Mess halls and massive shopping mall on campus,High-speed campus-wide Wi-Fi,N/A,Unipolis and Auditoriums,Mega gym
chandigarh-university,Yes - clean hostels with internet facility,Central library and department libraries,Sports fields; track; indoor games,Advanced engineering and research labs,Dispensary and medical support,Food courts and canteens,Wi-Fi across campus,CU transport buses,CU Auditoriums,Gymnasium
bennett-university,Yes - premium air-conditioned hostel rooms,Central library with rich collections,Sports complex; swimming pool; football turf,Nvidia supercomputing lab; engineering labs,24/7 Clinic and ambulance,Bennett cafeteria and dining hall,High-speed campus-wide Wi-Fi,Bus service to Noida metro,Bennett Auditoriums,Fully equipped gym
graphic-era,Yes - comfortable hostels with dining,Graphic Era Central Library,Football field; basketball courts,Advanced computing and engineering labs,First-aid and doctor on call,Canteen and food stalls,Campus-wide Wi-Fi,Bus service for local students,GEU Auditorium,Gym
galgotias-university,Yes - separate hostel blocks,Galgotias Central Library,Sports ground for outdoor games,Engineering and computer laboratories,Medical room and first aid,Cafeteria and student canteen,Wi-Fi access on campus,Bus services,Galgotias Auditorium,Gymnasium
