institution_slug,scholarship_available,scholarship_details
iit-delhi,Yes,Merit-cum-Means (MCM) scholarship offers tuition fee waiver + allowance. Various private and alumni scholarships are also available.
iit-bombay,Yes,MCM scholarships for 25% of students. Institute free studentship and various industry-sponsored awards.
iit-madras,Yes,MCM scholarships covering 67% tuition waiver. SC/ST scholarship schemes and multiple private donor scholarships.
iim-ahmedabad,Yes,Need-based financial aid covering up to 100% of tuition fees. Special scholarship schemes for SC/ST and minority groups.
aiims-delhi,Yes,Merit scholarships and fellowships from government agencies (ICMR; CSIR) for PG students. Small stipends for MBBS students.
delhi-university,Yes,Post-matric scholarships; Delhi University student aid fund; and various college-specific trust scholarships.
bhu,Yes,BHU student welfare fund scholarships; blind student assistance; and various national/state scholarship support.
bits-pilani,Yes,Merit and Merit-cum-Means (MCM) scholarships covering 25% to 100% of tuition fees for deserving candidates.
manipal-academy,Yes,Scholarships for academy toppers; sports scholarships; and interest subsidy on education loans.
jnu,Yes,Merit-cum-Means scholarships; UGC junior research fellowships (JRF); and university research fellowships.
nit-trichy,Yes,Central sector scholarship schemes; State government scholarships; and fee waivers based on parental income.
vit-vellore,Yes,VITIgnite scholarships for state board toppers (100% fee waiver); merit-based discounts on VITEEE ranks.
srm-chennai,Yes,SRM founder's scholarship (100% waiver for top ranks); merit scholarships; and socioeconomic performance waivers.
amity-noida,Yes,100% scholarship for students with 93%+ aggregate in 12th; 50% for 88%+; and sports/alumni discounts.
sharda-university,Yes,Scholarships based on SUAT rank; 12th board percentage (up to 100% waiver); and sibling discounts.
lpu,Yes,Scholarships based on LPUNEST performance; 12th percentage; JEE Main rank; and national level sports awards.
chandigarh-university,Yes,CUCET scholarship offering up to 100% waiver based on score. Special sports and defense personnel discounts.
bennett-university,Yes,Tuition fee waivers up to 100% based on 12th board marks; JEE Main percentile; or SAT score.
graphic-era,Yes,Merit-based scholarships for high achievers in 12th; discounts for female candidates and Uttarakhand state residents.
galgotias-university,Yes,Merit-based scholarship based on JEE Main ranks; 12th aggregate; and sports quota.
